"country","year","democ","autoc","polity","polity2","durable","exrec","exconst","polcomp","countrycode","rgdpe","rgdpna","pop","cpt.succ.n","cpt.fail.n","scoup1","atcoup2","pcoup3","apcoup4","agcoup","foroutex","reboutex","assassex","resignex","gdppc","trade","fcf","govfce","inflation","population","sec.enrr","oda","energy.gni","inttot","civtot","uds.mean"
"Bolivia",2004,8,0,8,8,22,8,7,7,"BOL",28885.6015625,27798.03515625,8.982917,0,0,0,0,0,0,0,0,0,0,0,4573.71778081568,57.4642663162886,11.687120893852,16.2585365062674,4.43738080101723,8967740,NA,9.36305721336497,11.3443878571315,0,0,0.585360864504679
"Bolivia",2005,8,0,8,8,23,8,7,7,"BOL",30590.59375,29027.0625,9.146655,0,0,0,0,0,0,0,0,0,0,1,4693.4248941654,67.6419424916322,12.9908467143351,15.9745575839224,5.39323106890663,9125405,NA,7.01053305598538,19.1252962309055,0,0,0.490682380093285
"Bolivia",2006,8,0,8,8,24,8,7,7,"BOL",33362.21484375,30419.525390625,9.30666,0,0,0,0,0,0,0,0,0,0,0,4834.88799098678,74.5378491112511,14.296679282592,14.3542327093528,4.28554926648961,9283345,80.195068359375,7.68881828475833,17.0793200823267,0,0,0.488794337801695
"Bolivia",2007,8,0,8,8,25,8,7,7,"BOL",34399.80078125,31807.974609375,9.463497,0,0,0,0,0,0,0,0,0,0,0,4970.89423519628,76.0619116458958,16.1395942353954,14.0586525577885,8.70624723083738,9441482,79.4651718139648,3.76707855013435,16.1170357362405,0,0,0.549757421483334
"Bolivia",2008,8,0,8,8,26,8,7,7,"BOL",36930.41015625,33763.69140625,9.618466,0,0,0,0,0,0,0,0,0,0,0,5189.44737415266,82.8670211992063,17.2487171748161,13.277374463191,14.0004075810067,9599916,78.9028015136719,3.8906435158798,18.0632740652217,0,0,0.537485856979069
"Bolivia",2009,7,0,7,7,27,8,6,7,"BOL",36685.32421875,34897.21875,9.773441,0,0,0,0,1,0,0,0,0,0,0,5276.33140274297,68.6270745184224,16.4792609873861,14.708765111562,3.34936982551399,9758799,77.7496719360352,4.35162600374851,9.23614779567821,0,0,0.475289729518505
"Bolivia",2010,7,0,7,7,28,8,6,7,"BOL",39909.2734375,36337.27734375,9.929849,0,0,0,0,0,0,0,0,0,0,0,5405.74811540863,75.5116265414044,16.5722450550485,13.831218450538,2.50176702702372,9918245,77.5375900268555,3.94441927108677,9.83160449778475,0,0,0.323862823167064
"Bolivia",2011,7,0,7,7,29,8,6,7,"BOL",42576.34375,38217.33984375,10.088108,0,0,0,0,0,0,0,0,0,0,0,5595.18088896488,82.53030755302,18.9796391438734,13.785438518018,9.81268984137699,10078238,77.2704620361328,3.16766027092051,10.6868660145177,0,0,0.2885524504534
"Bolivia",2012,7,0,7,7,30,8,6,7,"BOL",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5792.54909383357,85.1039446153879,18.2401824039599,13.4641782829105,4.58637469586442,10238762,78.1713790893555,2.59247559850718,10.8315551032458,0,0,0.284258799449178
"Bolivia",2013,7,0,7,7,31,8,6,7,"BOL",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,6089.17895774024,81.385349532286,19.1004563640319,13.8678308284544,5.71558009832052,10399931,80.0322494506836,2.4366241904791,10.5283333039217,0,0,NA
"Bolivia",2014,7,0,7,7,32,8,6,7,"BOL",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,6319.52624099525,NA,NA,NA,5.78356372228237,10561887,NA,NA,NA,0,0,NA
"Bosnia",1992,-77,-77,-77,0,0,-77,-77,-77,"BIH",4184.54736328125,4695.26220703125,3.931372,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4301169,NA,NA,NA,0,6,-0.594116722547772
"Bosnia",1993,-77,-77,-77,0,0,-77,-77,-77,"BIH",4080.78735351562,4592.84228515625,3.677379,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4141167,NA,NA,NA,0,6,-0.591343999197927
"Bosnia",1994,-77,-77,-77,0,0,-77,-77,-77,"BIH",4521.33740234375,5104.11572265625,3.462032,0,0,0,0,0,0,0,0,0,0,0,1442.40325391531,101.847227683838,NA,NA,NA,3992256,NA,37.4559109245777,0,0,6,-0.595287637286934
